sym,sym href,slw,sl,svelte-eurwtr
A,https://stockanalysis.com/stocks/a/,"Agilent Technologies, Inc.",Diagnostics & Research,40.84B
AA,https://stockanalysis.com/stocks/aa/,Alcoa Corporation,Aluminum,8.60B
AACG,https://stockanalysis.com/stocks/aacg/,ATA Creativity Global,Education & Training Services,19.51M
AACT,https://stockanalysis.com/stocks/aact/,Ares Acquisition Corporation II,Shell Companies,671.88M
AADI,https://stockanalysis.com/stocks/aadi/,"Aadi Bioscience, Inc.",Biotechnology,38.15M
AAGR,https://stockanalysis.com/stocks/aagr/,African Agriculture Holdings Inc.,Farm Products,7.81M
AAL,https://stockanalysis.com/stocks/aal/,American Airlines Group Inc.,Airlines,6.83B
AAM,https://stockanalysis.com/stocks/aam/,AA Mission Acquisition Corp.,Shell Companies,374.81M
AAMC,https://stockanalysis.com/stocks/aamc/,Altisource Asset Management Corporation,Mortgage Finance,5.90M
AAME,https://stockanalysis.com/stocks/aame/,Atlantic American Corporation,Insurance - Life,31.21M
AAN,https://stockanalysis.com/stocks/aan/,"The Aaron's Company, Inc.",Rental & Leasing Services,309.89M
AAOI,https://stockanalysis.com/stocks/aaoi/,"Applied Optoelectronics, Inc.",Communication Equipment,364.79M
AAON,https://stockanalysis.com/stocks/aaon/,"AAON, Inc.",Building Products & Equipment,7.45B
AAP,https://stockanalysis.com/stocks/aap/,"Advance Auto Parts, Inc.",Specialty Retail,3.69B
AAPL,https://stockanalysis.com/stocks/aapl/,Apple Inc.,Consumer Electronics,"3,442.22B"
AAT,https://stockanalysis.com/stocks/aat/,"American Assets Trust, Inc.",REIT - Diversified,1.59B
AB,https://stockanalysis.com/stocks/ab/,AllianceBernstein Holding L.P.,Asset Management,4.02B
ABAT,https://stockanalysis.com/stocks/abat/,American Battery Technology Company,Other Industrial Metals & Mining,61.82M
ABBV,https://stockanalysis.com/stocks/abbv/,AbbVie Inc.,Drug Manufacturers - General,347.14B
ABCB,https://stockanalysis.com/stocks/abcb/,Ameris Bancorp,Banks - Regional,4.00B
ABCL,https://stockanalysis.com/stocks/abcl/,AbCellera Biologics Inc.,Biotechnology,777.92M
ABEO,https://stockanalysis.com/stocks/abeo/,Abeona Therapeutics Inc.,Biotechnology,226.97M
ABEV,https://stockanalysis.com/stocks/abev/,Ambev S.A.,Beverages - Brewers,37.20B
ABG,https://stockanalysis.com/stocks/abg/,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4.70B
ABIO,https://stockanalysis.com/stocks/abio/,"ARCA biopharma, Inc.",Biotechnology,56.14M
ABL,https://stockanalysis.com/stocks/abl/,"Abacus Life, Inc.",Insurance - Life,762.19M
ABLV,https://stockanalysis.com/stocks/ablv/,Able View Global Inc.,Advertising Agencies,72.87M
ABM,https://stockanalysis.com/stocks/abm/,ABM Industries Incorporated,Specialty Business Services,3.43B
ABNB,https://stockanalysis.com/stocks/abnb/,"Airbnb, Inc.",Travel Services,74.42B
ABOS,https://stockanalysis.com/stocks/abos/,"Acumen Pharmaceuticals, Inc.",Biotechnology,171.23M
ABR,https://stockanalysis.com/stocks/abr/,"Arbor Realty Trust, Inc.",REIT - Mortgage,2.48B
ABSI,https://stockanalysis.com/stocks/absi/,Absci Corporation,Biotechnology,493.97M
ABT,https://stockanalysis.com/stocks/abt/,Abbott Laboratories,Medical Devices,193.81B
ABTS,https://stockanalysis.com/stocks/abts/,Abits Group Inc.,Capital Markets,18.86M
ABUS,https://stockanalysis.com/stocks/abus/,Arbutus Biopharma Corporation,Biotechnology,730.59M
ABVC,https://stockanalysis.com/stocks/abvc/,"ABVC BioPharma, Inc.",Biotechnology,8.76M
ABVE,https://stockanalysis.com/stocks/abve/,Above Food Ingredients Inc.,Packaged Foods,36.52M
ABVX,https://stockanalysis.com/stocks/abvx/,ABIVAX Société Anonyme,Biotechnology,732.37M
AC,https://stockanalysis.com/stocks/ac/,"Associated Capital Group, Inc.",Asset Management,691.29M
ACA,https://stockanalysis.com/stocks/aca/,"Arcosa, Inc.",Engineering & Construction,4.26B
ACAB,https://stockanalysis.com/stocks/acab/,Atlantic Coastal Acquisition Corp. II,Shell Companies,90.66M
ACAC,https://stockanalysis.com/stocks/acac/,Acri Capital Acquisition Corporation,Shell Companies,46.23M
ACAD,https://stockanalysis.com/stocks/acad/,ACADIA Pharmaceuticals Inc.,Biotechnology,2.64B
ACB,https://stockanalysis.com/stocks/acb/,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,349.21M
ACCD,https://stockanalysis.com/stocks/accd/,"Accolade, Inc.",Health Information Services,346.44M
ACCO,https://stockanalysis.com/stocks/acco/,ACCO Brands Corporation,Business Equipment & Supplies,508.69M
ACDC,https://stockanalysis.com/stocks/acdc/,ProFrac Holding Corp.,Oil & Gas Equipment & Services,1.02B
ACEL,https://stockanalysis.com/stocks/acel/,"Accel Entertainment, Inc.",Gambling,931.29M
ACET,https://stockanalysis.com/stocks/acet/,"Adicet Bio, Inc.",Biotechnology,129.37M
ACGL,https://stockanalysis.com/stocks/acgl/,Arch Capital Group Ltd.,Insurance - Diversified,39.18B
ACHC,https://stockanalysis.com/stocks/achc/,"Acadia Healthcare Company, Inc.",Medical Care Facilities,7.13B
ACHL,https://stockanalysis.com/stocks/achl/,Achilles Therapeutics plc,Biotechnology,30.77M
ACHR,https://stockanalysis.com/stocks/achr/,Archer Aviation Inc.,Aerospace & Defense,1.36B
ACHV,https://stockanalysis.com/stocks/achv/,"Achieve Life Sciences, Inc.",Biotechnology,152.48M
ACI,https://stockanalysis.com/stocks/aci/,"Albertsons Companies, Inc.",Grocery Stores,11.75B
ACIC,https://stockanalysis.com/stocks/acic/,American Coastal Insurance Corporation,Insurance - Property & Casualty,540.67M
ACIU,https://stockanalysis.com/stocks/aciu/,AC Immune SA,Biotechnology,332.44M
ACIW,https://stockanalysis.com/stocks/aciw/,"ACI Worldwide, Inc.",Software - Infrastructure,5.03B
ACLS,https://stockanalysis.com/stocks/acls/,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,3.77B
ACLX,https://stockanalysis.com/stocks/aclx/,"Arcellx, Inc.",Biotechnology,3.58B
ACM,https://stockanalysis.com/stocks/acm/,AECOM,Engineering & Construction,13.03B
ACMR,https://stockanalysis.com/stocks/acmr/,"ACM Research, Inc.",Semiconductor Equipment & Materials,1.25B
ACN,https://stockanalysis.com/stocks/acn/,Accenture plc,Information Technology Services,208.96B
ACNB,https://stockanalysis.com/stocks/acnb/,ACNB Corporation,Banks - Regional,336.70M
ACNT,https://stockanalysis.com/stocks/acnt/,Ascent Industries Co.,Steel,101.25M
ACON,https://stockanalysis.com/stocks/acon/,"Aclarion, Inc.",Health Information Services,1.99M
ACR,https://stockanalysis.com/stocks/acr/,ACRES Commercial Realty Corp.,REIT - Mortgage,115.90M
ACRE,https://stockanalysis.com/stocks/acre/,Ares Commercial Real Estate Corporation,REIT - Mortgage,373.96M
ACRS,https://stockanalysis.com/stocks/acrs/,"Aclaris Therapeutics, Inc.",Diagnostics & Research,90.61M
ACRV,https://stockanalysis.com/stocks/acrv/,"Acrivon Therapeutics, Inc.",Biotechnology,284.63M
ACST,https://stockanalysis.com/stocks/acst/,Acasti Pharma Inc.,Biotechnology,24.94M
ACT,https://stockanalysis.com/stocks/act/,"Enact Holdings, Inc.",Insurance - Specialty,5.42B
ACTG,https://stockanalysis.com/stocks/actg/,Acacia Research Corporation,Business Equipment & Supplies,475.78M
ACTU,https://stockanalysis.com/stocks/actu/,"Actuate Therapeutics, Inc.",Biotechnology,164.36M
ACU,https://stockanalysis.com/stocks/acu/,Acme United Corporation,Household & Personal Products,156.48M
